PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Delivery_Missing,Delivery_Delay_Days,Savings_Per_Unit,Total_Savings,Defect_Rate
PO-00001,ALPHA_INC,2023-10-17,2023-10-25,OFFICE SUPPLIES,CANCELLED,1176,20.13,17.81,0.0,YES,False,8.0,2.3200000000000003,2728.32,0.0
PO-00002,DELTA_LOGISTICS,2022-04-25,2022-05-05,OFFICE SUPPLIES,DELIVERED,1509,39.32,37.34,235.0,YES,False,10.0,1.9799999999999969,2987.819999999995,0.15573227302849568
PO-00003,GAMMA_CO,2022-01-26,2022-02-15,MRO,DELIVERED,910,95.51,92.26,41.0,YES,False,20.0,3.25,2957.5,0.045054945054945054
PO-00004,BETA_SUPPLIES,2022-10-09,2022-10-28,PACKAGING,DELIVERED,1344,99.85,95.52,112.0,YES,False,19.0,4.329999999999998,5819.519999999998,0.08333333333333333
PO-00005,DELTA_LOGISTICS,2022-09-08,2022-09-20,RAW MATERIALS,DELIVERED,1180,64.07,60.53,171.0,NO,False,12.0,3.539999999999992,4177.199999999991,0.14491525423728813
PO-00006,EPSILON_GROUP,2022-08-17,2022-08-29,MRO,DELIVERED,1145,69.21,63.57,39.0,YES,False,12.0,5.6399999999999935,6457.799999999993,0.03406113537117904
PO-00007,GAMMA_CO,2022-05-23,2022-06-03,MRO,DELIVERED,1774,51.37,47.82,96.0,NO,False,11.0,3.549999999999997,6297.699999999995,0.05411499436302142
PO-00008,ALPHA_INC,2022-04-15,2022-04-29,MRO,DELIVERED,1094,36.93,32.78,22.0,YES,False,14.0,4.149999999999999,4540.0999999999985,0.02010968921389397
PO-00009,GAMMA_CO,2023-11-24,2023-11-28,RAW MATERIALS,PARTIALLY DELIVERED,1688,43.93,39.89,89.0,YES,False,4.0,4.039999999999999,6819.519999999999,0.052725118483412325
PO-00010,GAMMA_CO,2023-07-13,2023-07-25,RAW MATERIALS,PENDING,171,76.87,70.2,8.0,YES,False,12.0,6.670000000000002,1140.5700000000004,0.04678362573099415
PO-00011,EPSILON_GROUP,2022-03-31,2022-04-15,RAW MATERIALS,DELIVERED,5000,78.49,73.68,18.0,YES,False,15.0,4.809999999999988,24049.99999999994,0.0036
PO-00012,BETA_SUPPLIES,2023-08-28,2023-09-11,RAW MATERIALS,DELIVERED,5000,88.96,86.58,115.0,YES,False,14.0,2.3799999999999955,11899.999999999978,0.023
PO-00013,BETA_SUPPLIES,2023-03-09,2023-03-26,ELECTRONICS,PENDING,5000,86.74,74.86,51.0,YES,False,17.0,11.879999999999995,59399.99999999998,0.0102
PO-00014,BETA_SUPPLIES,2022-02-02,,MRO,DELIVERED,5000,18.3,16.88,0.0,YES,True,,1.4200000000000017,7100.000000000008,0.0
PO-00015,DELTA_LOGISTICS,2022-01-31,2022-02-18,ELECTRONICS,PENDING,5000,54.5,48.45,22.0,YES,False,18.0,6.049999999999997,30249.999999999985,0.0044
PO-00016,BETA_SUPPLIES,2022-04-06,2022-04-21,PACKAGING,DELIVERED,5000,15.41,15.12,0.0,YES,False,15.0,0.2900000000000009,1450.0000000000045,0.0
PO-00017,DELTA_LOGISTICS,2022-08-12,2022-08-31,MRO,DELIVERED,1173,61.54,55.49,172.0,NO,False,19.0,6.049999999999997,7096.649999999997,0.1466325660699062
